0,simple,Гент 115,Гент 115 - 7,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/9bd/341_270_2/ahaybhuaglk7wues9ehnenliblv4tgc1.jpeg,7,Площадь,115,1,1,Спален,3,1,1,Санузлов,"
3",1,1,Этажей,1 ,1,1
1,simple,"от 7,1 млн. ","от 7,1 млн.  - 7",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/790/341_270_2/nk44tfxh99aexl7enfs18mc7ajq7pw32.jpg,7,Площадь,115,1,1,Спален,3,1,1,Санузлов,"
3",1,1,Этажей,1 ,1,1
2,simple,Гент 115 Про,Гент 115 Про - 6,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/4e7/341_270_2/y56n6gfqc4yf4ye5rhvccyoq6o6trr2p.jpg,6,Площадь,107,1,1,Спален,3,1,1,Санузлов,"
2",1,1,Этажей,1 ,1,1
3,simple,"от 7,8 млн. ","от 7,8 млн.  - 9",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/5f6/341_270_2/s7smciykdxrvl5808f9pape0gc3ikyfv.jpg,9,Площадь,187,1,1,Спален,4,1,1,Санузлов,"
2",1,1,Этажей,2,1,1
4,simple,Гент 107,Гент 107 - 9,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/a14/354_272_2/mgvu9fblv36iyc5vk48l7hyrtwa8k3j3.jpeg,9,Площадь,160,1,1,Спален,4,1,1,Санузлов,"
3",1,1,Этажей,2,1,1
5,simple,"от 6,2 млн. ","от 6,2 млн.  - 8",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/80b/354_272_2/a7wasawkk5na89oz9hhz12pqkr53soh8.jpg,8,Площадь,155,1,1,Спален,4,1,1,Санузлов,"
2",1,1,Этажей,2,1,1
6,simple,Боровск 6,Боровск 6 - 6,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/022/354_272_2/9jqo7h88xzf9vy2vcb45doemaau5zs1v.jpg,6,Площадь,110,1,1,Спален,3,1,1,Санузлов,"
3",1,1,Этажей,1 ,1,1
7,simple,"от 9,0 млн. ","от 9,0 млн.  - 6",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/585/354_272_2/zqznikcda2q0hwy2tbteyu85zpiwnyg7.jpg,6,Площадь,111,1,1,Спален,3,1,1,Санузлов,"
3",1,1,Этажей,1 ,1,1
8,simple,Мэри,Мэри - 8,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/b15/354_272_2/ymsb5j1st0g9jvt0i7tdauvnt6fvdoox.jpg,8,Площадь,145,1,1,Спален,4,1,1,Санузлов,"
3",1,1,Этажей,1 ,1,1
9,simple,"от 9,0 млн. ","от 9,0 млн.  - 12",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/c21/354_272_2/wu9f2imw25ly2foxfo2eqgqmob1xqepw.jpg,12,Площадь,272,1,1,Спален,2,1,1,Санузлов,"
2",1,1,Этажей,2,1,1
10,simple,Брюгге,Брюгге - 9,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/757/354_272_2/hkom39jc2hou782gbebzdtgsbt7c0bzb.jpg,9,Площадь,153,1,1,Спален,2,1,1,Санузлов,"
2",1,1,Этажей,1 ,1,1
11,simple,"от 8,7 млн. ","от 8,7 млн.  - 11",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/dc7/354_272_2/qcxjtxf7cmpqx5y4ie1kcyutdmhlok8r.jpg,11,Площадь,234,1,1,Спален,2,1,1,Санузлов,"
2",1,1,Этажей,2,1,1
13,simple,"от 6,6 млн. ","от 6,6 млн.  - 11",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/b0e/341_270_2/5evyzxxg5qyx3a9yzi830o2mnz8pg6oj.jpg,11,Площадь,191,1,1,Спален,3,1,1,Санузлов,"
2",1,1,Этажей,2,1,1
14,simple,Монс 111,Монс 111 - 5,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/a16/341_270_2/v9lboxdfsr8blpc7ulafpaocxjwf5455.jpg,5,Площадь,84,1,1,Спален,2,1,1,Санузлов,"
2",1,1,Этажей,1 ,1,1
15,simple,"от 6,7 млн. ","от 6,7 млн.  - 9",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/97e/354_272_2/97ed10e8aa41f04cf86080e4836cb0c4.jpg,9,Площадь,190,1,1,Спален,3,1,1,Санузлов,"
2",1,1,Этажей,2,1,1
16,simple,Монс 145,Монс 145 - 10,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/e08/341_270_2/d55to2m4h5udg1wfr7on1y28vjlvxrcs.jpg,10,Площадь,202,1,1,Спален,4,1,1,Санузлов,"
3",1,1,Этажей,2,1,1
17,simple,"от 8,6 млн. ","от 8,6 млн.  - 9",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/a40/354_272_2/zmq6hqxhvilnpwn70q18awn7qjn3slkv.jpg,9,Площадь,185,1,1,Спален,3,1,1,Санузлов,"
3",1,1,Этажей,2,1,1
0,simple,Реми,Реми - 12,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/8ba/341_270_2/0a73etcwv94l1nf82x77p1zymf5wpqu1.jpg,12,Площадь,273,1,1,Спален,3,1,1,Санузлов,"
3",1,1,Этажей,2,1,1
2,simple,"от 12,3 млн. ","от 12,3 млн.  - 7",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/a16/354_272_2/7mywarkvf7i1sz8zgoux7c2nqck3hiw8.jpg,7,Площадь,143,1,1,Спален,3,1,1,Санузлов,"
3",1,1,Этажей,1 ,1,1
4,simple,Гент 143,Гент 143 - 13,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/ea8/354_272_2/bfo2yhelxh1rbypy66pxcnhozvwwj1pa.jpg,13,Площадь,289,1,1,Спален,3,1,1,Санузлов,"
4",1,1,Этажей,2,1,1
6,simple,"от 7,2 млн. ","от 7,2 млн.  - 12",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/280/341_270_2/zxygcm9hyqlaobmiziptsq60e3f5i0df.jpg,12,Площадь,315,1,1,Спален,4,1,1,Санузлов,"
3",1,1,Этажей,2,1,1
8,simple,Наполи,Наполи - 15,1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/f2c/341_270_2/hj8sl7zi3n973vfw36738dicf6ea32pf.jpg,15,Площадь,341,1,1,Спален,4,1,1,Санузлов,"
3",1,1,Этажей,2,1,1
10,simple,"от 13,0 млн. ","от 13,0 млн.  - 13",1,Дом,https://www.stonedom.ru/upload/resize_cache/iblock/7ca/341_270_2/s2f3wd97ask5xzxmyy878z0kqp3qywlu.jpg,13,Площадь,306,1,1,Спален,4,1,1,Санузлов,"
4",1,1,Этажей,2,1,1
